cell line	type	target	basal level
HCC1500	HR+	PDGFRb	-3.3349
HCC1569	HER2amp	PDGFRb	NaN
HCC1806	TNBC	PDGFRb	-3.8104
HCC1937	TNBC	PDGFRb	NaN
HCC1954	HER2amp	PDGFRb	NaN
HCC202	HER2amp	PDGFRb	-3.4612
HCC38	TNBC	PDGFRb	NaN
HCC70	TNBC	PDGFRb	NaN
Hs 578T	TNBC	PDGFRb	-0.88291
MCF 10A	TNBC	PDGFRb	NaN
MCF 10F	TNBC	PDGFRb	-3.653
MCF-12A	TNBC	PDGFRb	NaN
MCF7	HR+	PDGFRb	NaN
MDA-MB-134-VI	HR+	PDGFRb	-3.4425
MDA-MB-157	TNBC	PDGFRb	-0.95855
MDA-MB-175-VII	HR+	PDGFRb	NaN
MDA-MB-231	TNBC	PDGFRb	-2.2174
MDA-MB-361	HER2amp	PDGFRb	NaN
MDA-MB-415	HR+	PDGFRb	-3.4788
MDA-MB-436	TNBC	PDGFRb	NaN
MDA-MB-453	TNBC	PDGFRb	-3.8849
MDA-MB-468	TNBC	PDGFRb	-3.6095
SK-BR-3	HER2amp	PDGFRb	-3.8286
T47D	HR+	PDGFRb	-3.5738
UACC-812	HER2amp	PDGFRb	NaN
UACC-893	HER2amp	PDGFRb	NaN
ZR-75-1	HR+	PDGFRb	NaN
ZR-75-30	HER2amp	PDGFRb	NaN
184B5	TNBC	Met	-0.37501
AU-565	HER2amp	Met	-1.1128
BT-20	TNBC	Met	-0.71136
BT-474	HER2amp	Met	-2.4829
BT-483	HR+	Met	NaN
BT-549	TNBC	Met	-0.51974
CAMA-1	HR+	Met	NaN
HCC1187	TNBC	Met	NaN
HCC1395	TNBC	Met	-1.5305
HCC1419	HER2amp	Met	NaN
HCC1428	HR+	Met	NaN
HCC1500	HR+	Met	NaN
HCC1569	HER2amp	Met	-1.3738
HCC1806	TNBC	Met	-0.57586
HCC1937	TNBC	Met	-0.69946
HCC1954	HER2amp	Met	-0.20047
HCC202	HER2amp	Met	NaN
HCC38	TNBC	Met	-1.9266
HCC70	TNBC	Met	-1.0869
Hs 578T	TNBC	Met	-0.68619
MCF 10A	TNBC	Met	-0.62903
MCF 10F	TNBC	Met	-0.39825
MCF-12A	TNBC	Met	-0.29197
MCF7	HR+	Met	NaN
MDA-MB-134-VI	HR+	Met	NaN
MDA-MB-157	TNBC	Met	NaN
MDA-MB-175-VII	HR+	Met	NaN
MDA-MB-231	TNBC	Met	-1.0958
MDA-MB-361	HER2amp	Met	NaN
MDA-MB-415	HR+	Met	-2.0514
MDA-MB-436	TNBC	Met	-0.5822
MDA-MB-453	TNBC	Met	NaN
MDA-MB-468	TNBC	Met	-0.75528
SK-BR-3	HER2amp	Met	-1.9036
T47D	HR+	Met	NaN
UACC-812	HER2amp	Met	-0.66725
UACC-893	HER2amp	Met	-1.637
ZR-75-1	HR+	Met	NaN
ZR-75-30	HER2amp	Met	NaN
184B5	TNBC	cKit	NaN
AU-565	HER2amp	cKit	NaN
BT-20	TNBC	cKit	NaN
BT-474	HER2amp	cKit	NaN
BT-483	HR+	cKit	NaN
BT-549	TNBC	cKit	NaN
CAMA-1	HR+	cKit	NaN
HCC1187	TNBC	cKit	-1.7235
HCC1395	TNBC	cKit	NaN
HCC1419	HER2amp	cKit	NaN
HCC1428	HR+	cKit	NaN
HCC1500	HR+	cKit	NaN
HCC1569	HER2amp	cKit	NaN
HCC1806	TNBC	cKit	-2.91
HCC1937	TNBC	cKit	NaN
HCC1954	HER2amp	cKit	-4.1036
HCC202	HER2amp	cKit	NaN
HCC38	TNBC	cKit	-2.69
HCC70	TNBC	cKit	-2.2802
Hs 578T	TNBC	cKit	NaN
MCF 10A	TNBC	cKit	NaN
MCF 10F	TNBC	cKit	NaN
MCF-12A	TNBC	cKit	NaN
MCF7	HR+	cKit	-3.8006
MDA-MB-134-VI	HR+	cKit	NaN
MDA-MB-157	TNBC	cKit	-2.0621
MDA-MB-175-VII	HR+	cKit	NaN
MDA-MB-231	TNBC	cKit	NaN
MDA-MB-361	HER2amp	cKit	NaN
MDA-MB-415	HR+	cKit	-2.3902
MDA-MB-436	TNBC	cKit	NaN
MDA-MB-453	TNBC	cKit	-4.5537
MDA-MB-468	TNBC	cKit	-3.8526
